symbol,bias,bias_emoji,category,score,confidence,pcr,prev_pcr,support,resistance,ce_net_contracts,pe_net_contracts,ce_net_lakhs,pe_net_lakhs,atm_ce_delta_contracts,atm_pe_delta_contracts,score_breakdown
ETERNAL,Bullish,🟡,Short Covering,26.9,86,0.55,0.5,320.0,340.0,-3637560,603805,-36.38,6.04,-3618160,543185,+13.2 Moderate Put Writing (ATM zone) | +2.7 Full-chain confirmation (Put-heavy) | +2.0 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +6.0 ATM±5 zone raw flow: CE -36.18L vs PE +5.43L (institutional tilt Put-heavy)
TATASTEEL,Bullish,🟡,Short Covering,25.0,85,0.71,0.67,185.0,190.0,-2906750,1504250,-29.07,15.04,-3390700,1743500,+12.8 Moderate Put Writing (ATM zone) | +1.6 Full-chain confirmation (Put-heavy) | +1.6 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +6.0 ATM±5 zone raw flow: CE -33.91L vs PE +17.43L (institutional tilt Put-heavy)
ONGC,Bullish,🟢,Bullish OI Bias,12.3,66,0.51,0.51,225.0,240.0,-940500,-733500,-9.4,-7.33,-1930500,-573750,+3.7 Call/Put roughly balanced (ATM zone) | -0.4 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +6.0 ATM±5 zone raw flow: CE -19.30L vs PE -5.74L (institutional tilt Put-heavy)
FEDERALBNK,Bullish,🟡,Short Covering,23.9,86,0.74,0.72,350.0,360.0,-487500,-97500,-4.88,-0.97,-490000,-185000,"+2.4 Call/Put roughly balanced (ATM zone) | +0.6 Full-chain confirmation (Put-heavy) | +0.8 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +14.0 Full-chain Dual Unwinding is Call-heavy (4.88L CE vs 0.97L PE unwound, 5.0x) — bullish | +3.1 ATM±5 zone raw flow: CE -4.90L vs PE -1.85L (institutional tilt Put-heavy)"
RELIANCE,Bullish Lean,🟩,Bullish Lean,5.3,64,0.75,0.76,1300.0,1320.0,114500,-726000,1.15,-7.26,-481500,-231000,+0.8 Call/Put roughly balanced (ATM zone) | -0.6 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +2.5 ATM±5 zone raw flow: CE -4.82L vs PE -2.31L (institutional tilt Put-heavy)
GAIL,Bullish Lean,🟩,Bullish Lean,11.2,75,0.71,0.7,190.0,175.0,-255600,134900,-2.56,1.35,-188150,163300,+3.7 Call/Put roughly balanced (ATM zone) | +0.6 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +3.5 ATM±5 zone raw flow: CE -1.88L vs PE +1.63L (institutional tilt Put-heavy)
UNIONBANK,Bullish,🟢,Bullish OI Bias,14.3,82,0.65,0.63,185.0,195.0,-265510,544260,-2.66,5.44,-132755,491160,+3.6 Call/Put roughly balanced (ATM zone) | +0.9 Full-chain confirmation (Put-heavy) | +0.8 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +6.0 ATM±5 zone raw flow: CE -1.33L vs PE +4.91L (institutional tilt Put-heavy)
LICHSGFIN,Bearish Lean,🟧,Bearish Lean,-8.8,70,1.11,1.11,520.0,550.0,-136000,-141000,-1.36,-1.41,-103000,-139000,-0.4 Call/Put roughly balanced (ATM zone) | -8.0 Max Pain below spot | -0.4 ATM±5 zone raw flow: CE -1.03L vs PE -1.39L (institutional tilt Call-heavy)
OBEROIRLTY,Bullish,🟡,Short Covering,14.6,82,0.52,0.48,1900.0,2000.0,-4900,76650,-0.05,0.77,-41650,5950,+6.9 Moderate Put Writing (ATM zone) | +2.6 Full-chain confirmation (Put-heavy) | +1.6 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +0.5 ATM±5 zone raw flow: CE -0.42L vs PE +0.06L (institutional tilt Put-heavy)
DRREDDY,Neutral,⚪,Neutral / Mixed Positioning,-1.8,65,0.66,0.67,1080.0,1200.0,171875,63120,1.72,0.63,-31250,76875,"+5.8 Moderate Put Writing (ATM zone) | -0.3 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -11.0 Full-chain Dual Build-Up is Call-heavy (+1.72L CE vs +0.63L PE, 2.7x) | +1.1 ATM±5 zone raw flow: CE -0.31L vs PE +0.77L (institutional tilt Put-heavy)"
FORCEMOT,Bullish,🟡,Short Covering,31.2,85,0.48,0.43,17000.0,19000.0,-1275,4650,-0.01,0.05,-6900,4250,+22.8 Strong Put Writing (ATM zone) | +3.4 Full-chain confirmation (Put-heavy) | +2.0 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls
PAGEIND,Neutral,⚪,Neutral / Mixed Positioning,2.3,65,0.52,0.51,36000.0,40000.0,-180,600,-0.0,0.01,1020,540,-1.6 Call/Put roughly balanced (ATM zone) | +0.5 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls
